Brand Name,Manufacturer,Calories,Protein,Fat,Sodium,Fiber,Carbohydrates,Sugar,Potassium,Vitamins
100% Bran,Nabisco,70.0,4.0,1.0,130.0,10.0,5.0,6.0,280.0,25.0
100% Natural Bran,Quaker Oats,120.0,3.0,5.0,15.0,2.0,8.0,8.0,135.0,0.0
All-Bran,Kelloggs,70.0,4.0,1.0,260.0,9.0,7.0,5.0,320.0,25.0
All-Bran with Extra Fiber,Kelloggs,50.0,4.0,0.0,140.0,14.0,8.0,0.0,330.0,25.0
Apple Cinnamon Cheerios,General Mills,110.0,2.0,2.0,180.0,1.5,10.5,10.0,70.0,25.0
Apple Jacks,Kelloggs,110.0,2.0,0.0,125.0,1.0,11.0,14.0,30.0,25.0
Basic 4,General Mills,97.7,2.3,1.5,157.9,1.5,13.5,6.0,75.2,18.8
Bran Chex,Ralston Purina,90.0,2.0,1.0,200.0,4.0,15.0,6.0,125.0,25.0
Bran Flakes,Post,90.0,3.0,0.0,210.0,5.0,13.0,5.0,190.0,25.0
Cap'n'Crunch,Quaker Oats,120.0,1.0,2.0,220.0,0.0,12.0,12.0,35.0,25.0
Cheerios,General Mills,110.0,6.0,2.0,290.0,2.0,17.0,1.0,105.0,25.0
Cinnamon Toast Crunch,General Mills,120.0,1.0,3.0,210.0,0.0,13.0,9.0,45.0,25.0
Clusters,General Mills,110.0,3.0,2.0,140.0,2.0,13.0,7.0,105.0,25.0
Cocoa Puffs,General Mills,110.0,1.0,1.0,180.0,0.0,12.0,13.0,55.0,25.0
Corn Chex,Ralston Purina,110.0,2.0,0.0,280.0,0.0,22.0,3.0,25.0,25.0
Corn Flakes,Kelloggs,100.0,2.0,0.0,290.0,1.0,21.0,2.0,35.0,25.0
Corn Pops,Kelloggs,110.0,1.0,0.0,90.0,1.0,13.0,12.0,20.0,25.0
Count Chocula,General Mills,110.0,1.0,1.0,180.0,0.0,12.0,13.0,65.0,25.0
Cracklin' Oat Bran,Kelloggs,110.0,3.0,3.0,140.0,4.0,10.0,7.0,160.0,25.0
Crispix,Kelloggs,110.0,2.0,0.0,220.0,1.0,21.0,3.0,30.0,25.0
Crispy Wheat & Raisins,General Mills,100.0,2.0,1.0,140.0,2.0,11.0,10.0,120.0,25.0
